,DevStage,pH,Weight,SNVL,Tail,MeanTemp,DeltaTemp,DissolvedOxygen,Conductivity,Elevation,BdCopies
LS011,Non-metamorphic,7.62,9,50,60,9.858,12.01,79.03,81.66,3462,0
LS012,Non-metamorphic,7.62,7,45,65,9.858,12.01,79.03,81.66,3462,501.4728677
LS013,Non-metamorphic,7.62,10,55,70,9.858,12.01,79.03,81.66,3462,3499.805805
LS014,Non-metamorphic,7.62,7,52,65,9.858,12.01,79.03,81.66,3462,278.6033861
LS015,Non-metamorphic,7.62,9,60,61,9.858,12.01,79.03,81.66,3462,0
LS016,Metamorphic,7.62,10,55,70,9.858,12.01,79.03,81.66,3462,25593.89613
LS017,Non-metamorphic,7.62,8,45,65,9.858,12.01,79.03,81.66,3462,38187.68667
LS018,Non-metamorphic,7.62,10,50,70,9.858,12.01,79.03,81.66,3462,0
LS019,Non-metamorphic,7.62,7,55,65,9.858,12.01,79.03,81.66,3462,0
LS020,Non-metamorphic,7.62,12,55,75,9.858,12.01,79.03,81.66,3462,1387.018244
LS021,Non-metamorphic,7.62,9,55,60,9.858,12.01,79.03,81.66,3462,0
LS022,Non-metamorphic,7.62,10,60,65,9.858,12.01,79.03,81.66,3462,0
LS023,Metamorphic,7.62,29,80,95,9.858,12.01,79.03,81.66,3462,242.511356
LS024,Non-metamorphic,7.62,5,43,50,9.858,12.01,79.03,81.66,3462,0
LS025,Non-metamorphic,7.62,6,48,57,9.858,12.01,79.03,81.66,3462,93.62937576
LS026,Metamorphic,7.62,17,70,85,9.858,12.01,79.03,81.66,3462,0
LS067,Metamorphic,7.01,20,75,100,8.621,11.75,103.2,61.66,3462,0
LS068,Non-metamorphic,7.01,13,75,85,8.621,11.75,103.2,61.66,3462,0
LS069,Non-metamorphic,7.01,4,40,50,8.621,11.75,103.2,61.66,3462,86.86784672
LS070,Metamorphic,7.01,10,55,70,8.621,11.75,103.2,61.66,3462,11397.17403
LS072,Metamorphic,7.01,22,70,90,8.621,11.75,103.2,61.66,3462,0
LS073,Non-metamorphic,7.01,13,63,72,8.621,11.75,103.2,61.66,3462,0
LS074,Non-metamorphic,7.01,5,47,55,8.621,11.75,103.2,61.66,3462,577.8299153
LS075,Non-metamorphic,7.01,3,45,57,8.621,11.75,103.2,61.66,3462,209.2251959
LS076,Non-metamorphic,7.01,8,55,70,8.621,11.75,103.2,61.66,3462,3971.327267
LS077,Non-metamorphic,7.01,7,50,56,8.621,11.75,103.2,61.66,3462,530.1765658
LS078,Metamorphic,7.01,27,85,102,8.621,11.75,103.2,61.66,3462,0
LS079,Metamorphic,7.01,17,80,90,8.621,11.75,103.2,61.66,3462,0
LS080,Non-metamorphic,7.01,12,62,69,8.621,11.75,103.2,61.66,3462,58.09064343
LS081,Non-metamorphic,7.01,10,62,70,8.621,11.75,103.2,61.66,3462,1287.867453
LS082,Non-metamorphic,7.01,12,60,75,8.621,11.75,103.2,61.66,3462,0
LS083,Non-metamorphic,7.01,7,55,60,8.621,11.75,103.2,61.66,3462,516.3348007
LS084,Non-metamorphic,7.01,8,55,65,8.621,11.75,103.2,61.66,3462,78.83373613
LS085,Non-metamorphic,7.01,12,85,75,8.621,11.75,103.2,61.66,3462,92.94216377
LS086,Non-metamorphic,7.01,5,53,55,8.621,11.75,103.2,61.66,3462,276.8933436
LS087,Non-metamorphic,7.01,7,57,20,8.621,11.75,103.2,61.66,3462,0
LS169,Non-metamorphic,7.15,11,63,67,6.009,8.45,91.36,76,3462,1544.109641
LS170,Non-metamorphic,7.15,13,70,72,6.009,8.45,91.36,76,3462,95.2135392
LS171,Non-metamorphic,7.15,5,50,53,6.009,8.45,91.36,76,3462,69.11071075
LS172,Non-metamorphic,7.15,3,44,42,6.009,8.45,91.36,76,3462,0
LS173,Non-metamorphic,7.15,13,66,77,6.009,8.45,91.36,76,3462,0
LS174,Non-metamorphic,7.15,11,68,68,6.009,8.45,91.36,76,3462,0
LS175,Non-metamorphic,7.15,11,65,69,6.009,8.45,91.36,76,3462,76.21287047
LS176,Non-metamorphic,7.15,9,60,28,6.009,8.45,91.36,76,3462,0
LS177,Non-metamorphic,7.15,12,67,77,6.009,8.45,91.36,76,3462,0
LS178,Non-metamorphic,7.15,19,73,86,6.009,8.45,91.36,76,3462,0
LS180,Non-metamorphic,7.15,9,67,67,6.009,8.45,91.36,76,3462,0
LS181,Non-metamorphic,7.15,13,68,77,6.009,8.45,91.36,76,3462,225.5654865
LS182,Non-metamorphic,7.15,7,61,62,6.009,8.45,91.36,76,3462,197.7608686
LS183,Non-metamorphic,7.15,3,47,48,6.009,8.45,91.36,76,3462,1164.445553
LS184,Non-metamorphic,7.15,13,65,77,6.009,8.45,91.36,76,3462,0
LS185,Non-metamorphic,7.15,11,7,91,6.009,8.45,91.36,76,3462,0
LS209,Metamorphic,7.53,6,64,58,7.308,4.9,109.23,81.33,3462,0
LS210,Metamorphic,7.53,20,75,88,7.308,4.9,109.23,81.33,3462,0
LS211,Non-metamorphic,7.53,6,53,70,7.308,4.9,109.23,81.33,3462,90.78381086
LS212,Non-metamorphic,7.53,6,62,56,7.308,4.9,109.23,81.33,3462,167.9181123
LS213,Non-metamorphic,7.53,11,61,74,7.308,4.9,109.23,81.33,3462,0
LS214,Non-metamorphic,7.53,10,64,72,7.308,4.9,109.23,81.33,3462,0
LS215,Non-metamorphic,7.53,12,68,72,7.308,4.9,109.23,81.33,3462,0
LS216,Non-metamorphic,7.53,11,64,62,7.308,4.9,109.23,81.33,3462,687.1991703
LS217,Non-metamorphic,7.53,10,62,68,7.308,4.9,109.23,81.33,3462,3044.011245
LS218,Non-metamorphic,7.53,13,66,75,7.308,4.9,109.23,81.33,3462,0
LS219,Non-metamorphic,7.53,9,61,34,7.308,4.9,109.23,81.33,3462,0
LS220,Non-metamorphic,7.53,13,64,72,7.308,4.9,109.23,81.33,3462,79.98185032
LS221,Non-metamorphic,7.53,7,62,58,7.308,4.9,109.23,81.33,3462,571.4204443
LS222,Non-metamorphic,7.53,4,43,45,7.308,4.9,109.23,81.33,3462,575.2423606
LS223,Non-metamorphic,7.53,10,59,68,7.308,4.9,109.23,81.33,3462,0
LS224,Metamorphic,7.53,9,66,73,7.308,4.9,109.23,81.33,3462,0
LS225,Non-metamorphic,7.53,17,83,9,7.308,4.9,109.23,81.33,3462,809.7904257
LS226,Non-metamorphic,7.53,10,64,68,7.308,4.9,109.23,81.33,3462,1504.758585
O027,Non-metamorphic,6.86,12,65,75,11.52,15.06,74.73,87,3433,876.3236976
O028,Non-metamorphic,6.86,11,67,80,11.52,15.06,74.73,87,3433,328.7293257
O029,Non-metamorphic,6.86,2,40,45,11.52,15.06,74.73,87,3433,0
O030,Non-metamorphic,6.86,40,100,130,11.52,15.06,74.73,87,3433,54275.47192
O031,Metamorphic,6.86,13,70,82,11.52,15.06,74.73,87,3433,0
O032,Non-metamorphic,6.86,15,55,80,11.52,15.06,74.73,87,3433,0
O033,Metamorphic,6.86,34,80,106,11.52,15.06,74.73,87,3433,1384.244192
O034,Metamorphic,6.86,11,65,81,11.52,15.06,74.73,87,3433,103171.714
O035,Metamorphic,6.86,10,55,80,11.52,15.06,74.73,87,3433,883.0924044
O036,Non-metamorphic,6.86,9,50,63,11.52,15.06,74.73,87,3433,33944.53082
O037,Metamorphic,6.86,26,90,12,11.52,15.06,74.73,87,3433,35884.95945
O038,Non-metamorphic,6.86,1,30,35,11.52,15.06,74.73,87,3433,0
O039,Non-metamorphic,6.86,11,65,75,11.52,15.06,74.73,87,3433,1144.870653
O040,Metamorphic,6.86,15,90,70,11.52,15.06,74.73,87,3433,3003.481862
O041,Non-metamorphic,6.86,13,65,70,11.52,15.06,74.73,87,3433,26210.19459
O042,Metamorphic,6.86,10,70,85,11.52,15.06,74.73,87,3433,2253.97951
O043,Metamorphic,6.86,16,65,100,11.52,15.06,74.73,87,3433,154.5031903
O044,Non-metamorphic,6.86,12,65,70,11.52,15.06,74.73,87,3433,0
O045,Metamorphic,6.86,24,70,85,11.52,15.06,74.73,87,3433,0
O046,Non-metamorphic,6.86,1,25,30,11.52,15.06,74.73,87,3433,0
O047,Metamorphic,6.86,28,80,110,11.52,15.06,74.73,87,3433,13384.36688
O048,Metamorphic,6.86,18,75,110,11.52,15.06,74.73,87,3433,1305.038495
O049,Non-metamorphic,6.86,9,45,65,11.52,15.06,74.73,87,3433,48220.73124
O050,Metamorphic,6.86,22,75,90,11.52,15.06,74.73,87,3433,367.1817112
O051,Metamorphic,6.86,17,60,85,11.52,15.06,74.73,87,3433,0
O052,Metamorphic,6.86,8,60,75,11.52,15.06,74.73,87,3433,28516.60544
O053,Metamorphic,6.86,12,60,80,11.52,15.06,74.73,87,3433,265.7265046
O094,Metamorphic,6.63,13,75,100,9.715,11.19,103.66,95.66,3433,0
O095,Non-metamorphic,6.63,5,55,60,9.715,11.19,103.66,95.66,3433,222859.1746
O096,Metamorphic,6.63,19,86,115,9.715,11.19,103.66,95.66,3433,6823.52414
O097,Non-metamorphic,6.63,3,45,55,9.715,11.19,103.66,95.66,3433,3313.44726
O098,Non-metamorphic,6.63,5,55,60,9.715,11.19,103.66,95.66,3433,24458.08486
O099,Non-metamorphic,6.63,4,45,60,9.715,11.19,103.66,95.66,3433,40444.03922
O100,Metamorphic,6.63,11,70,85,9.715,11.19,103.66,95.66,3433,119.4204372
O101,Metamorphic,6.63,24,85,105,9.715,11.19,103.66,95.66,3433,0
O102,Non-metamorphic,6.63,5,50,67,9.715,11.19,103.66,95.66,3433,0
O103,Metamorphic,6.63,7,65,70,9.715,11.19,103.66,95.66,3433,6573.878937
O104,Metamorphic,6.63,9,65,75,9.715,11.19,103.66,95.66,3433,335571.6714
O105,Metamorphic,6.63,17,70,96,9.715,11.19,103.66,95.66,3433,0
O106,Metamorphic,6.63,10,55,75,9.715,11.19,103.66,95.66,3433,0
O107,Non-metamorphic,6.63,9,50,62,9.715,11.19,103.66,95.66,3433,62474.1783
O108,Non-metamorphic,6.63,15,65,85,9.715,11.19,103.66,95.66,3433,42953.5065
O109,Metamorphic,6.63,9,55,75,9.715,11.19,103.66,95.66,3433,0
O110,Metamorphic,6.63,7,60,80,9.715,11.19,103.66,95.66,3433,0
O111,Non-metamorphic,6.63,6,50,67,9.715,11.19,103.66,95.66,3433,39431.39236
O112,Metamorphic,6.63,6,65,80,9.715,11.19,103.66,95.66,3433,10078.93493
O113,Metamorphic,6.63,12,75,80,9.715,11.19,103.66,95.66,3433,187.6029619
O114,Metamorphic,6.63,23,90,110,9.715,11.19,103.66,95.66,3433,0
O116,Metamorphic,6.63,8,65,70,9.715,11.19,103.66,95.66,3433,154.4105806
O117,Metamorphic,6.63,19,80,105,9.715,11.19,103.66,95.66,3433,87.39502478
O118,Metamorphic,6.63,17,75,95,9.715,11.19,103.66,95.66,3433,403.6838919
O142,Non-metamorphic,7.05,11,62,74,8.692,9.44,90.96,90.33,3433,13151.53652
O143,Non-metamorphic,7.05,7,62,65,8.692,9.44,90.96,90.33,3433,14768.02701
O144,Non-metamorphic,7.05,6,55,50,8.692,9.44,90.96,90.33,3433,5967.689648
O145,Non-metamorphic,7.05,15,74,77,8.692,9.44,90.96,90.33,3433,1501.915507
O146,Metamorphic,7.05,18,90,98,8.692,9.44,90.96,90.33,3433,113.0179895
O147,Non-metamorphic,7.05,10,62,71,8.692,9.44,90.96,90.33,3433,710.1848793
O148,Metamorphic,7.05,10,72,78,8.692,9.44,90.96,90.33,3433,728.2654616
O149,Metamorphic,7.05,13,72,80,8.692,9.44,90.96,90.33,3433,155.5805959
O150,Metamorphic,7.05,22,95,113,8.692,9.44,90.96,90.33,3433,1068.256783
O152,Metamorphic,7.05,16,81,96,8.692,9.44,90.96,90.33,3433,2152.283175
O153,Non-metamorphic,7.05,12,64,66,8.692,9.44,90.96,90.33,3433,2316.050425
O154,Metamorphic,7.05,14,72,78,8.692,9.44,90.96,90.33,3433,0
O155,Non-metamorphic,7.05,11,62,70,8.692,9.44,90.96,90.33,3433,2318.975858
O156,Metamorphic,7.05,8,72,81,8.692,9.44,90.96,90.33,3433,2351.830502
O157,Non-metamorphic,7.05,10,68,74,8.692,9.44,90.96,90.33,3433,0
O158,Non-metamorphic,7.05,10,62,73,8.692,9.44,90.96,90.33,3433,1660.458576
O159,Non-metamorphic,7.05,5,53,59,8.692,9.44,90.96,90.33,3433,1717.904329
O160,Metamorphic,7.05,8,66,81,8.692,9.44,90.96,90.33,3433,466.3708229
O161,Metamorphic,7.05,12,77,82,8.692,9.44,90.96,90.33,3433,607.6204566
O162,Non-metamorphic,7.05,11,64,71,8.692,9.44,90.96,90.33,3433,1087.5506
O163,Non-metamorphic,7.05,5,55,58,8.692,9.44,90.96,90.33,3433,3233.771069
O243,Metamorphic,7.17,12,71,89,10.19,10.3,100.7,92.33,3433,5090.044325
O244,Non-metamorphic,7.17,8,67,62,10.19,10.3,100.7,92.33,3433,147524.5436
O245,Metamorphic,7.17,18,82,117,10.19,10.3,100.7,92.33,3433,2268.728552
O246,Metamorphic,7.17,15,75,106,10.19,10.3,100.7,92.33,3433,1933.536273
O247,Non-metamorphic,7.17,13,73,80,10.19,10.3,100.7,92.33,3433,9529.547507
O249,Metamorphic,7.17,12,74,82,10.19,10.3,100.7,92.33,3433,0
O250,Non-metamorphic,7.17,12,67,89,10.19,10.3,100.7,92.33,3433,3286.824059
O251,Metamorphic,7.17,12,71,85,10.19,10.3,100.7,92.33,3433,7011.320588
O252,Non-metamorphic,7.17,11,65,74,10.19,10.3,100.7,92.33,3433,14711.40673
O253,Metamorphic,7.17,12,70,95,10.19,10.3,100.7,92.33,3433,0
O254,Metamorphic,7.17,15,69,96,10.19,10.3,100.7,92.33,3433,0
O255,Non-metamorphic,7.17,10,63,78,10.19,10.3,100.7,92.33,3433,4108.360529
O256,Metamorphic,7.17,14,74,102,10.19,10.3,100.7,92.33,3433,147.1001405
O257,Non-metamorphic,7.17,7,53,65,10.19,10.3,100.7,92.33,3433,0
O258,Non-metamorphic,7.17,11,58,73,10.19,10.3,100.7,92.33,3433,4344.770792
O259,Metamorphic,7.17,18,76,100,10.19,10.3,100.7,92.33,3433,60.55532648
O260,Metamorphic,7.17,10,60,77,10.19,10.3,100.7,92.33,3433,983.1384942
O261,Metamorphic,7.17,9,66,72,10.19,10.3,100.7,92.33,3433,15330.26637
O262,Metamorphic,7.17,19,72,105,10.19,10.3,100.7,92.33,3433,3894.931429
O263,Non-metamorphic,7.17,12,65,75,10.19,10.3,100.7,92.33,3433,0
O264,Metamorphic,7.17,12,71,80,10.19,10.3,100.7,92.33,3433,0
O265,Metamorphic,7.17,17,75,95,10.19,10.3,100.7,92.33,3433,0
O266,Metamorphic,7.17,17,80,95,10.19,10.3,100.7,92.33,3433,109.8386116
O267,Metamorphic,7.17,12,65,75,10.19,10.3,100.7,92.33,3433,207.3059219
O268,Non-metamorphic,7.17,7,55,65,10.19,10.3,100.7,92.33,3433,38664.29791
O269,Non-metamorphic,7.17,10,65,85,10.19,10.3,100.7,92.33,3433,14681.59374
S002,Metamorphic,7.8,33,90,105,11.67,10.81,71.76,124,3177,0
S003,Metamorphic,7.8,26,80,100,11.67,10.81,71.76,124,3177,377.0185613
S004,Metamorphic,7.8,34,80,110,11.67,10.81,71.76,124,3177,0
S005,Metamorphic,7.8,10,60,62,11.67,10.81,71.76,124,3177,0
S006,Metamorphic,7.8,37,80,110,11.67,10.81,71.76,124,3177,3834.322143
S007,Non-metamorphic,7.8,15,60,70,11.67,10.81,71.76,124,3177,0
S008,Metamorphic,7.8,38,105,140,11.67,10.81,71.76,124,3177,0
S009,Non-metamorphic,7.8,1,15,20,11.67,10.81,71.76,124,3177,0
S010,Non-metamorphic,7.8,1,20,30,11.67,10.81,71.76,124,3177,0
S088,Non-metamorphic,7.31,3,45,43,10.58,8.1,108.66,114,3177,510.1756773
S089,Metamorphic,7.31,35,100,120,10.58,8.1,108.66,114,3177,0
S090,Metamorphic,7.31,22,65,75,10.58,8.1,108.66,114,3177,9204.496176
S091,Non-metamorphic,7.31,23,70,90,10.58,8.1,108.66,114,3177,207.3163368
S092,Metamorphic,7.31,39,90,110,10.58,8.1,108.66,114,3177,0
S093,Metamorphic,7.31,32,80,105,10.58,8.1,108.66,114,3177,0
S124,Non-metamorphic,7.41,9,60,74,9.086,7.08,87.93,128.33,3177,4476.780967
S125,Non-metamorphic,7.41,9,56,60,9.086,7.08,87.93,128.33,3177,639.0970283
S126,Non-metamorphic,7.41,15,68,71,9.086,7.08,87.93,128.33,3177,1030.3378
S129,Non-metamorphic,7.41,10,62,66,9.086,7.08,87.93,128.33,3177,163.9916957
S130,Non-metamorphic,7.41,13,67,77,9.086,7.08,87.93,128.33,3177,71.66357421
S131,Non-metamorphic,7.41,13,62,75,9.086,7.08,87.93,128.33,3177,5921.723466
S132,Non-metamorphic,7.41,3,46,40,9.086,7.08,87.93,128.33,3177,374.0183621
S133,Non-metamorphic,7.41,7,58,59,9.086,7.08,87.93,128.33,3177,62.94647066
S135,Non-metamorphic,7.41,6,55,46,9.086,7.08,87.93,128.33,3177,10277.39047
S136,Non-metamorphic,7.41,10,65,67,9.086,7.08,87.93,128.33,3177,323.1380357
S137,Non-metamorphic,7.41,16,72,83,9.086,7.08,87.93,128.33,3177,1117.026652
S138,Non-metamorphic,7.41,8,61,64,9.086,7.08,87.93,128.33,3177,1822.882092
S227,Non-metamorphic,7.63,5,51,57,10.75,7.17,106.83,127,3177,3343.959407
S228,Non-metamorphic,7.63,10,63,73,10.75,7.17,106.83,127,3177,614.8982109
S229,Non-metamorphic,7.63,13,67,75,10.75,7.17,106.83,127,3177,503.3866677
S230,Non-metamorphic,7.63,15,63,72,10.75,7.17,106.83,127,3177,551.3327705
S231,Non-metamorphic,7.63,13,68,82,10.75,7.17,106.83,127,3177,0
S232,Metamorphic,7.63,9,69,78,10.75,7.17,106.83,127,3177,7879.663304
S233,Non-metamorphic,7.63,7,63,51,10.75,7.17,106.83,127,3177,19600.82202
S234,Non-metamorphic,7.63,9,58,63,10.75,7.17,106.83,127,3177,1403.439924
S235,Non-metamorphic,7.63,9,61,66,10.75,7.17,106.83,127,3177,430.1289686
S236,Non-metamorphic,7.63,11,64,77,10.75,7.17,106.83,127,3177,840.3950867
S238,Non-metamorphic,7.63,8,59,63,10.75,7.17,106.83,127,3177,450.0185019
S239,Non-metamorphic,7.63,10,62,70,10.75,7.17,106.83,127,3177,675.8083062
S240,Metamorphic,7.63,8,63,67,10.75,7.17,106.83,127,3177,561621.4736
S241,Non-metamorphic,7.63,10,65,70,10.75,7.17,106.83,127,3177,1140.403134
S242,Non-metamorphic,7.63,11,61,69,10.75,7.17,106.83,127,3177,208.7149224
T001,Metamorphic,7,11,65,60,10.37,5.45,86.63,64,3087,15258766.53
T054,Non-metamorphic,7,9,55,65,10.37,5.45,86.63,64,3087,3022.631141
T055,Non-metamorphic,7,13,65,75,10.37,5.45,86.63,64,3087,6039.808546
T056,Non-metamorphic,7,13,60,75,10.37,5.45,86.63,64,3087,1135.053237
T057,Non-metamorphic,7,5,50,67,10.37,5.45,86.63,64,3087,27122.57654
T058,Non-metamorphic,7,5,50,50,10.37,5.45,86.63,64,3087,166010.6155
T059,Non-metamorphic,7,11,50,61,10.37,5.45,86.63,64,3087,139.526856
T060,Non-metamorphic,7,1,20,20,10.37,5.45,86.63,64,3087,92.77691021
T061,Non-metamorphic,7,1,25,30,10.37,5.45,86.63,64,3087,0
T062,Non-metamorphic,7,1,20,25,10.37,5.45,86.63,64,3087,0
T063,Non-metamorphic,7,1,20,20,10.37,5.45,86.63,64,3087,0
T064,Non-metamorphic,7,1,20,21,10.37,5.45,86.63,64,3087,0
T065,Non-metamorphic,7,1,30,32,10.37,5.45,86.63,64,3087,0
T066,Non-metamorphic,7,1,23,22,10.37,5.45,86.63,64,3087,0
T119,Non-metamorphic,6.66,8,55,65,8.961,7.26,102.76,58.33,3087,17936.26999
T120,Non-metamorphic,6.66,3,37,40,8.961,7.26,102.76,58.33,3087,4442.546104
T121,Metamorphic,6.66,15,65,85,8.961,7.26,102.76,58.33,3087,160.9692943
T122,Non-metamorphic,6.66,11,60,63,8.961,7.26,102.76,58.33,3087,15508.01715
T123,Non-metamorphic,6.66,3,45,40,8.961,7.26,102.76,58.33,3087,441.98031
T186,Non-metamorphic,6.63,11,70,62,7.631,4.85,88.5,60.66,3087,111819.618
T187,Non-metamorphic,6.63,9,59,65,7.631,4.85,88.5,60.66,3087,0
T188,Non-metamorphic,6.63,7,62,64,7.631,4.85,88.5,60.66,3087,0
T189,Non-metamorphic,6.63,5,56,59,7.631,4.85,88.5,60.66,3087,0
T190,Non-metamorphic,6.63,12,66,71,7.631,4.85,88.5,60.66,3087,3969.35424
T191,Non-metamorphic,6.63,13,64,71,7.631,4.85,88.5,60.66,3087,565.9659975
T192,Non-metamorphic,6.63,11,62,68,7.631,4.85,88.5,60.66,3087,0
T193,Non-metamorphic,6.63,9,67,60,7.631,4.85,88.5,60.66,3087,1476.208869
T194,Non-metamorphic,6.63,7,54,57,7.631,4.85,88.5,60.66,3087,1529.070559
T195,Non-metamorphic,6.63,8,55,60,7.631,4.85,88.5,60.66,3087,26038.14926
T196,Non-metamorphic,6.63,10,59,71,7.631,4.85,88.5,60.66,3087,1167.386426
T197,Non-metamorphic,6.63,12,65,70,7.631,4.85,88.5,60.66,3087,1024.365149
T198,Non-metamorphic,6.63,14,65,76,7.631,4.85,88.5,60.66,3087,12813.18778
T199,Non-metamorphic,6.63,6,57,58,7.631,4.85,88.5,60.66,3087,1404.934734
T200,Non-metamorphic,6.63,12,66,75,7.631,4.85,88.5,60.66,3087,4344.191604
T201,Non-metamorphic,6.63,8,60,52,7.631,4.85,88.5,60.66,3087,3349.661288
T202,Non-metamorphic,6.63,7,54,62,7.631,4.85,88.5,60.66,3087,1512.322051
T203,Non-metamorphic,6.63,5,53,57,7.631,4.85,88.5,60.66,3087,2195.481473
T204,Non-metamorphic,6.63,4,50,46,7.631,4.85,88.5,60.66,3087,2095.946854
T205,Non-metamorphic,6.63,4,48,5,7.631,4.85,88.5,60.66,3087,566.4974404
T206,Non-metamorphic,6.63,10,72,72,7.631,4.85,88.5,60.66,3087,615.1281382
T207,Non-metamorphic,6.63,10,60,67,7.631,4.85,88.5,60.66,3087,377.6524738
T208,Non-metamorphic,6.63,10,62,70,7.631,4.85,88.5,60.66,3087,4114.684914
T270,Non-metamorphic,7.67,15,68,77,10.23,3.9,91.93,67.33,3087,0
T271,Non-metamorphic,7.67,7,50,67,10.23,3.9,91.93,67.33,3087,410482.9706
T272,Non-metamorphic,7.67,5,47,53,10.23,3.9,91.93,67.33,3087,30007.19198
T273,Non-metamorphic,7.67,10,58,71,10.23,3.9,91.93,67.33,3087,0
T274,Non-metamorphic,7.67,5,37,45,10.23,3.9,91.93,67.33,3087,20699.82276
T275,Non-metamorphic,7.67,7,57,64,10.23,3.9,91.93,67.33,3087,14220.48305
T276,Non-metamorphic,7.67,8,62,67,10.23,3.9,91.93,67.33,3087,19150.11213
T277,Non-metamorphic,7.67,6,54,68,10.23,3.9,91.93,67.33,3087,17547.74685
T278,Non-metamorphic,7.67,9,58,64,10.23,3.9,91.93,67.33,3087,32868.5876
T279,Non-metamorphic,7.67,10,52,61,10.23,3.9,91.93,67.33,3087,2444.797074
T280,Non-metamorphic,7.67,11,61,65,10.23,3.9,91.93,67.33,3087,1337.654006
T281,Non-metamorphic,7.67,6,58,58,10.23,3.9,91.93,67.33,3087,19640.11257
T282,Non-metamorphic,7.67,8,52,57,10.23,3.9,91.93,67.33,3087,1077.299639
T283,Non-metamorphic,7.67,8,58,60,10.23,3.9,91.93,67.33,3087,4010.566269
T284,Non-metamorphic,7.67,6,46,58,10.23,3.9,91.93,67.33,3087,3969.05402
T285,Non-metamorphic,7.67,8,60,57,10.23,3.9,91.93,67.33,3087,4235.482466
T286,Non-metamorphic,7.67,4,39,55,10.23,3.9,91.93,67.33,3087,3412.981222
T287,Non-metamorphic,7.67,10,66,72,10.23,3.9,91.93,67.33,3087,1341.975965
T288,Non-metamorphic,7.67,8,51,66,10.23,3.9,91.93,67.33,3087,13409.43546
T289,Metamorphic,7.67,11,66,74,10.23,3.9,91.93,67.33,3087,1545334.842
